concept,description,,
Zero-Sum Game,"A situation in which one person's gain is equivalent to another's loss, meaning the net change in wealth or benefit is zero",,
Zeigarnik Effect, People remember unfinished or interrupted tasks better than completed tasks,,
Tragedy of the Commons,A situation in a shared-resource system where individual users acting independently according to their own self-interest behave contrary to the common good of all users by depleting or spoiling the resources through their collective action,,
The Streisand Effect,"A phenomenon whereby an attempt to hide, remove, or censor a piece of information has the unintended consequence of publicizing the information more widely",,
The Spotlight Effect, A psychological phenomenon leads individuals to believe they are being noticed more than they really are,,
The Peter Principle,An observation that the tendency in most organizational hierarchies is for every employee to rise in the hierarchy through promotion until they reach a level of respective incompetence,,
The Pareto Principle (80/20 Rule),"An observation that for many outcomes, roughly 80% of consequences come from 20% of causes",,
The Matthew Effect,A concept that suggests 'the rich get richer and the poor get poorer' or those who already have will receive more,,
The Map is Not the Territory,An idea that an individual's perception of reality is not the same as reality itself,,
The Long Tail,A business strategy that allows companies to realize significant profit out of selling low volumes of hard-to-find items to many customers instead of only selling large volumes of a reduced number of popular items,,
The Lindy Effect,The future life expectancy of a non-perishable thing like a technology or an idea is proportional to its current age,,
The Law of Small Numbers,A cognitive bias in which people tend to underestimate the variability of small samples,,
The Law of Closure, A principle of Gestalt psychology that states that the human brain tends to fill in gaps in visual information to create a full, cohesive image,
The IKEA Effect,The tendency for people to place a disproportionately high value on products they partially created,,
The Hawthorne Effect,A type of reactivity in which individuals modify an aspect of their behavior in response to their awareness of being observed,,
The Halo Effect,The tendency for an impression created in one area to influence opinion in another area,,
The Google Effect (Digital Amnesia), The tendency to forget information that can be easily found using internet search engines such as Google,,
The Ellsberg Paradox, A paradox in decision theory in which people's choices violate the postulates of subjective expected utility,,
The Butterfly Effect,The phenomenon whereby a minute localized change in a complex system can have large effects elsewhere,,
The Broken Windows Theory,"A criminological theory that states that visible signs of crime, anti-social behavior, and civil disorder create an urban environment that encourages further crime and disorder",,
The Benjamin Franklin Effect, A psychological phenomenon where a person who has performed a favor for someone is more likely to do another favor for that person than they would be if they had received a favor from that person,,
The Backfire Effect, A cognitive bias that describes how individuals, when confronted with evidence against their beliefs, come to believe even more strongly in their original viewpoint
Survivorship Bias,A logical error of concentrating on the people or things that made it past some selection process and overlooking those that did not,,
Sunk Cost Fallacy,A mistake in reasoning where a decision is influenced by what has already been invested,,
Sturgeon's Law,An observation that states 'ninety percent of everything is crap',,
Socratic Questioning,A form of disciplined questioning that can be used to pursue thought in many directions and for many purposes,,
